REGION,SIGLA,AÑO,Porcentaje de plasticos emitidos
Asia,ASIA,2019,80.99356991
Africa,AFRICA,2019,7.98931654
South America,SOUTH AMERICA,2019,5.513253248
North America,NORTH AMERICA,2019,4.499120942
Europe,EUROPE,2019,0.595431351
Oceania,OCEANIA,2019,0.370715232
